time,cpu %,memory %
2024-06-10 16:26:38,2.23,0.10
2024-06-10 16:26:42,2.39,0.11
2024-06-10 16:26:46,26.06,0.10
2024-06-10 16:26:50,27.53,0.11
2024-06-10 16:26:54,29.45,0.11
2024-06-10 16:26:58,28.21,0.11
2024-06-10 16:27:02,8.09,0.10
2024-06-10 16:27:06,19.75,0.11
2024-06-10 16:27:10,28.81,0.10
2024-06-10 16:27:14,2.48,0.11
2024-06-10 16:27:18,2.31,0.11
2024-06-10 16:27:22,2.76,0.10
2024-06-10 16:27:26,0.02,0.10
2024-06-10 16:27:30,0.02,0.11
2024-06-10 16:27:34,65.04,0.10
2024-06-10 16:27:38,24.83,0.10
2024-06-10 16:27:42,2.67,0.10
2024-06-10 16:27:46,22.61,0.10
2024-06-10 16:27:50,27.09,0.10
2024-06-10 16:27:54,27.26,0.11
2024-06-10 16:27:58,50.86,0.11
2024-06-10 16:28:02,26.84,0.10
2024-06-10 16:28:06,21.10,0.10
2024-06-10 16:28:10,23.13,0.10
2024-06-10 16:28:14,29.26,0.11
2024-06-10 16:28:18,2.82,0.11
2024-06-10 16:28:22,2.37,0.10
2024-06-10 16:28:26,3.44,0.11
2024-06-10 16:28:30,2.76,0.11
2024-06-10 16:28:34,0.02,0.11
2024-06-10 16:28:38,0.02,0.11
2024-06-10 16:28:42,0.04,0.11
2024-06-10 16:28:46,0.02,0.11
2024-06-10 16:28:50,77.01,0.11
2024-06-10 16:28:54,24.93,0.11
2024-06-10 16:28:58,44.12,0.11
2024-06-10 16:29:02,24.46,0.10
2024-06-10 16:29:06,23.07,0.10
2024-06-10 16:29:10,22.31,0.11
2024-06-10 16:29:14,23.14,0.10
2024-06-10 16:29:18,20.66,0.10
2024-06-10 16:29:22,2.38,0.10
2024-06-10 16:29:26,3.02,0.10
2024-06-10 16:29:30,2.84,0.10
2024-06-10 16:29:34,3.02,0.10
2024-06-10 16:29:38,2.53,0.10
2024-06-10 16:29:42,2.83,0.10
2024-06-10 16:29:46,3.01,0.10
2024-06-10 16:29:50,0.02,0.10
2024-06-10 16:29:54,0.02,0.11
2024-06-10 16:29:58,0.06,0.10
2024-06-10 16:30:02,55.87,0.10
2024-06-10 16:30:06,0.02,0.11
2024-06-10 16:30:10,0.02,0.10
2024-06-10 16:30:14,0.02,0.10
2024-06-10 16:30:18,0.01,0.10
2024-06-10 16:30:22,0.12,0.10
2024-06-10 16:30:26,0.03,0.10
2024-06-10 16:30:30,0.02,0.10
2024-06-10 16:30:34,0.02,0.10
2024-06-10 16:30:38,0.03,0.10
2024-06-10 16:30:42,0.04,0.10
2024-06-10 16:30:46,0.03,0.10
2024-06-10 16:30:50,0.04,0.10
2024-06-10 16:30:54,0.02,0.10
2024-06-10 16:30:58,0.02,0.10
2024-06-10 16:31:02,0.05,0.10
2024-06-10 16:31:06,0.02,0.10
2024-06-10 16:31:10,0.02,0.10
2024-06-10 16:31:15,0.02,0.10
2024-06-10 16:31:19,8.90,0.11
2024-06-10 16:31:23,0.06,0.11
2024-06-10 16:31:27,0.02,0.11
2024-06-10 16:31:31,0.02,0.11
2024-06-10 16:31:35,0.02,0.11
2024-06-10 16:31:39,18.70,0.11
2024-06-10 16:31:43,0.07,0.11
2024-06-10 16:31:47,0.02,0.11
2024-06-10 16:31:51,51.25,0.11
2024-06-10 16:31:55,30.87,0.12
2024-06-10 16:31:59,0.02,0.11
2024-06-10 16:32:03,0.09,0.12
2024-06-10 16:32:07,31.51,0.11
2024-06-10 16:32:11,27.33,0.11
2024-06-10 16:32:15,17.76,0.11
2024-06-10 16:32:19,0.03,0.11
2024-06-10 16:32:23,0.04,0.11
2024-06-10 16:32:27,0.02,0.11
2024-06-10 16:32:31,33.09,0.11
2024-06-10 16:32:35,33.43,0.11
2024-06-10 16:32:39,1.43,0.11
2024-06-10 16:32:43,0.07,0.11
2024-06-10 16:32:47,0.02,0.11
2024-06-10 16:32:51,0.02,0.11
2024-06-10 16:32:55,0.02,0.11
2024-06-10 16:32:59,0.03,0.11
2024-06-10 16:33:03,57.96,0.11
2024-06-10 16:33:07,68.50,0.11
2024-06-10 16:33:11,35.47,0.11
2024-06-10 16:33:15,0.01,0.11
2024-06-10 16:33:19,0.01,0.11
2024-06-10 16:33:23,0.04,0.11
2024-06-10 16:33:27,29.81,0.11
2024-06-10 16:33:31,33.33,0.11
2024-06-10 16:33:35,30.36,0.11
2024-06-10 16:33:39,32.86,0.12
